nombre,kms,mins,delay,timestamp,direccion_origen,origen_lat,origen_lon,direccion_destino,destino_lat,destino_lon
B1,7.529,15.433333333333334,3.0833333333333335,2020-01-09T17:51:21+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.436,27.1,0.3,2020-01-09T17:51:21+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,21.2,1.05,2020-01-09T17:51:21+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,40.726,36.38333333333333,0.0,2020-01-09T17:51:22+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,32.983333333333334,0.0,2020-01-09T17:56:22+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.712,15.716666666666667,1.85,2020-01-09T17:56:22+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,26.733333333333334,0.0,2020-01-09T17:56:23+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.375,22.633333333333333,2.15,2020-01-09T17:56:23+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,40.726,36.5,0.3,2020-01-09T17:56:23+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,32.93333333333333,0.0,2020-01-09T18:01:24+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.529,14.75,2.2333333333333334,2020-01-09T18:01:24+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,26.7,0.0,2020-01-09T18:01:24+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,21.016666666666666,1.2333333333333334,2020-01-09T18:01:25+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,40.726,36.25,0.03333333333333333,2020-01-09T18:01:25+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,33.483333333333334,0.6,2020-01-09T18:06:25+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.529,13.8,0.0,2020-01-09T18:06:26+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,27.283333333333335,0.7166666666666667,2020-01-09T18:06:26+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.416666666666668,0.0,2020-01-09T18:06:26+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,29.233,36.78333333333333,4.916666666666667,2020-01-09T18:06:27+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,32.85,0.0,2020-01-09T18:11:27+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.1,13.733333333333333,0.0,2020-01-09T18:11:27+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,26.65,0.13333333333333333,2020-01-09T18:11:27+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,20.316666666666666,0.9666666666666667,2020-01-09T18:11:28+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,29.218,36.166666666666664,4.633333333333334,2020-01-09T18:11:28+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,33.7,0.95,2020-01-09T18:16:28+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.019,13.616666666666667,0.0,2020-01-09T18:16:29+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,27.35,0.95,2020-01-09T18:16:29+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.75,0.5,2020-01-09T18:16:29+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,29.233,36.46666666666667,4.916666666666667,2020-01-09T18:16:30+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,31.25,0.0,2020-01-10T09:11:16+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,8.407,9.65,0.0,2020-01-10T09:11:16+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,26.841,31.55,1.2166666666666666,2020-01-10T09:11:17+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,18.133333333333333,0.0,2020-01-10T09:11:17+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,27.82,27.566666666666666,0.9666666666666667,2020-01-10T09:11:17+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,31.216666666666665,0.0,2020-01-10T09:16:19+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,8.407,9.616666666666667,0.0,2020-01-10T09:16:20+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,26.969,31.583333333333332,2.033333333333333,2020-01-10T09:16:20+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,18.033333333333335,0.0,2020-01-10T09:16:21+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,24.379,27.566666666666666,1.0333333333333334,2020-01-10T09:16:21+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,31.2,0.0,2020-01-10T09:21:22+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,8.407,9.583333333333334,0.0,2020-01-10T09:21:22+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,29.366666666666667,3.816666666666667,2020-01-10T09:21:22+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.95,0.0,2020-01-10T09:21:23+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
E1,24.379,26.95,0.5333333333333333,2020-01-10T09:21:23+01:00,Colmenar viejo Madrid,40.65895,-3.76604,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
